dateTime.decimalPoint|,
dateTime.thousandsSep|.
dateTime.year|år
dateTime.years|år
dateTime.month|månad
dateTime.months|månader
dateTime.week|veke
dateTime.weeks|veker
dateTime.fortnight|14 dagar
dateTime.quarter|firedel
dateTime.quarters|kvartal
dateTime.trimester|tertial
dateTime.day|dag
dateTime.days|dagar
dateTime.hour|time
dateTime.hours|timar
dateTime.minute|minutt
dateTime.minutes|minutt
dateTime.second|sekund
dateTime.seconds|sekund
dateTime.current|inneverande
dateTime.fixedDate|fast dato
dateTime.abbr.time|kl:
dateTime.abbr.week|u
dateTime.dayNames.0|søndag
dateTime.dayNames.1|måndag
dateTime.dayNames.2|tysdag
dateTime.dayNames.3|onsdag
dateTime.dayNames.4|torsdag
dateTime.dayNames.5|fredag
dateTime.dayNames.6|laurdag
dateTime.dayNames.7|søndag
dateTime.dayNamesShort.0|søn
dateTime.dayNamesShort.1|ein
dateTime.dayNamesShort.2|tir
dateTime.dayNamesShort.3|ons
dateTime.dayNamesShort.4|tor
dateTime.dayNamesShort.5|fre
dateTime.dayNamesShort.6|lør
dateTime.dayNamesShort.7|søn
dateTime.dayNamesMin.0|sø
dateTime.dayNamesMin.1|ma
dateTime.dayNamesMin.2|ti
dateTime.dayNamesMin.3|on
dateTime.dayNamesMin.4|to
dateTime.dayNamesMin.5|fr
dateTime.dayNamesMin.6|lø
dateTime.dayNamesMin.7|sø
dateTime.monthNames.0|januar
dateTime.monthNames.1|februar
dateTime.monthNames.2|mars
dateTime.monthNames.3|april
dateTime.monthNames.4|mai
dateTime.monthNames.5|juni
dateTime.monthNames.6|juli
dateTime.monthNames.7|august
dateTime.monthNames.8|september
dateTime.monthNames.9|oktober
dateTime.monthNames.10|november
dateTime.monthNames.11|desember
dateTime.monthNamesShort.0|jan
dateTime.monthNamesShort.1|feb
dateTime.monthNamesShort.2|mar
dateTime.monthNamesShort.3|apr
dateTime.monthNamesShort.4|mai
dateTime.monthNamesShort.5|jun
dateTime.monthNamesShort.6|jul
dateTime.monthNamesShort.7|aug
dateTime.monthNamesShort.8|sep
dateTime.monthNamesShort.9|okt
dateTime.monthNamesShort.10|nov
dateTime.monthNamesShort.11|des
dateTime.error.parseError|Kunne ikkje tolka dato. Bruk ddmmåååå, dd.mm.åååå eller dd/mm/åååå
dateTime.error.parseErrors.dmy|bruk dd mmm åååå, dd.mm.åååå eller dd/mm/åååå
dateTime.error.parseErrors.mdy|bruk mmddyyyy, mm.dd.yyyy eller mm/dd/yyyy
dateTime.error.parseErrors.ymd|bruk yyyyddmm, yyyy.dd.mm eller yyyy/dd/mm
dateTime.error.xMustBeNumeric|[X] må vera eit tal
dateTime.error.inputHasWrongLength|Dato formatet har feil lengd. Bruk ddmmåååå, dd.mm.åååå eller dd/mm/åååå
dateTime.error.yearMustHave4Digits|årstalet må vera anten 2 eller 4 siffer
dateTime.error.monthMustBeBetween1And12|månad må vera eit tal mellom 1 og 12
dateTime.error.dayCannotBeZero|dag kan ikkje vera 0
dateTime.error.dateCanNotBeLessThanX|datoen kan ikkje vera mindre enn [X]
dateTime.error.dateCanNotBeGreaterThanX|datoen kan ikkje vera større enn [X]
dateTime.error.xMonthHasOnlyYDays|[X] månad har berre [Y] dagar
dateTime.error.pleaseEnterDate|vennlegast skriv inn ein dato
dateTime.error.pleaseEnterTime|oppgi eit tidspunkt
dateTime.error.invalidTime|ugyldig tid
dateTime.error.timeMustBeNumeric|tidspunkt kan berre innehalda tal
dateTime.error.yearIsMissing|år manglar
dateTime.error.monthIsMissing|månad manglar
dateTime.error.dayIsMissing|dag manglar
dateTime.error.dayMustBeANumber|dag må vera eit tal
dateTime.error.monthMustBeANumber|månad må vera eit tal
dateTime.error.yearMustBeANumber|år må vera eit tal
tab.start|start
tab.customers|kundar
tab.units|einingar
tab.organizations|organisasjonar
tab.personnel|personale
tab.config|konfigurasjon
tab.admin|admin
tab.elearn|eLearn
tab.areYouAlive|er du i live
tab.authorizedUsernames|godkjende brukarnamn
tab.importJob|import jobb
tab.appSettings|appinnstillingar
tab.tracingUsernames|sporing brukarnamn
tab.importConfig|import konfig
tab.vismaLearn|visma Learning
tab.blacklistAreas|svarteliste område
tab.crmLinks|CRM-koplingar
tab.soExport|superOffice eksport
word.add|legg til
word.background|bakgrunn
word.foreground|forgrunnen
word.siteProductName|Veilederen
word.affiliation|tilhøyrsel
word.address|adresse
word.application|applikasjon
word.applications|applikasjonar
word.accumulated|akkumulert
word.default|forvalt
word.empty|tom
word.postalNumber|postnummer
word.postalPlace|poststad
word.businessAddress|forretningsadresse
word.locationAddress|plasseringsadresse
word.element|element
word.elements|element
word.close|lukk
word.copy|kopi
word.read|les
word.toRead|lesa
word.write|skriv
word.toWrite|skriva
word.delete|slett
word.toDelete|slette
word.deleting|slettar
word.deleted|sletta
word.save|lagra
word.ok|ok
word.created|oppretta
word.by|av
word.export|eksport
word.doExport|eksport
word.content|innhald
word.country|land
word.county|fylke
word.cancel|avbryt
word.municipality|kommune
word.yes|ja
word.no|nei
word.addition|tillegg
word.all|alle
word.administrator|administrator
word.capability|evne
word.capabilities|evnar
word.configuration|konfigurasjon
word.configurations|konfigurasjonar
word.category|kategori
word.customer|kunde
word.customers|kundar
word.customerNumber|kundenummer
word.owner|eigaren
word.details|detaljar
word.file|fil
word.area|område
word.change|endre
word.aChange|endring
word.changes|endringar
word.search|søk
word.description|beskriving
word.warning|åtvaring
word.access|tilgang
word.product|produkt
word.products|produkt
word.event|hending
word.events|hendelers
word.result|resultat
word.results|resultat
word.found|funne
word.enabled|aktivert
word.guid|guid
word.group|gruppe
word.groups|grupper
word.role|rolle
word.roles|roller
word.course|kurs
word.name|namn
word.firstname|fornamn
word.lastname|etternamn
word.overview|oversikt
word.username|brukarnamn
word.usernames|brukarnamn
word.sector|sektor
word.password|passord
word.unknown|ukjent
word.company|selskap
word.organizationalNumber|organisasjonsnummer
word.organizationalForm|organisasjonsform
word.email|e-post
word.phone|telefon
word.code|kode
word.marketingGroups|marknadsføringsgrupper
word.right|rett
word.error|feil
word.success|suksess
word.url|url
word.none|ingen
word.registration|registrering
word.business|verksemd
word.department|avdeling
word.user|bruker
word.users|brukarar
word.unit|eining
word.units|einingar
word.organization|organisasjon
word.organizations|organisasjonar
word.never|aldri
word.id|id
word.importConfiguration|import konfigurasjon
word.webhook|webhook
word.webhooks|webhooks
word.uri|urI
word.active|aktiv
word.activated|aktivert
word.deactivated|deaktivert
word.thisRole|denne rolla
word.thisRight|denne retten
word.additions|tillegg
word.import|import
word.charset|teiknsett
word.perform|utføra
word.performing|utfører
word.start|start
word.job|jobb
word.jobs|jobbar
word.theJob|jobben
word.thaName|namnet
word.various|diverse
word.test|test
word.pageviews|sidevisningar
word.includes|inkluderer
word.permanent|permanent
word.permanently|permanent
word.regular|fast
word.subscription|abonnement
word.refresh|oppfrisk
word.send|send
